"","region","beta1","eta","mu","sigma1","sigma2","kappa"
"1","Alabama",-4.26138491087778,0.346377175239328,22.4958209898961,2.36382587654956,2.35894102934375,100.459963567058
"2","Alaska",-5.45507040687147,0.592989936171494,21.4719655827001,2.6169718490697,2.90999751837397,71.2068876419138
"3","Arizona",-4.55485412384836,-2.16840434497101e-19,22.4700110920635,2.05776078402874,2.49072750233742,248.609356957722
"4","Arkansas",-5.66170744694062,0.935251776660635,23.3421474295667,2.48176503137715,2.61595512370271,81.1509329286728
"5","California",-4.21590606624885,-0.0608667776342102,22.7406238931315,2.05113625468111,2.31658781510334,334.055094515328
"6","Colorado",-4.89114876799163,0.240094095350553,24.5823812480682,2.42064887552565,2.37082851565109,115.7716879753
"7","Connecticut",-6.8039182356526,1.22246140691744,24.3752238204091,2.85981571929573,2.83670091826686,60.391211176768
"8","Delaware",-6.70455185159495,0.962746662723602,25.6445589246803,2.47824535648733,2.22289718845578,87.273225894761
"9","District of Columbia",-3.6835872058218,-0.129966157206056,12.8266687409394,0.437209005201415,3.33938758148562,32.0107751920357
"10","Florida",-4.6753818707549,0.39137790280235,14.8446660443943,2.89379613814309,4.33552871860025,245.576387067987
"11","Georgia",-4.3526663541992,0.188225973354611,21.4043306109908,2.28498449218855,2.39022508240738,110.882614018271
"12","Hawaii",-4.85074523630974,0.382560320413788,26.0698944032221,2.95137797590213,2.92092002296249,95.0418397311649
"13","Idaho",-7.83146620418303,1.47486919254586,23.8619751702179,2.80818390453826,2.97757221004998,85.541081969599
"14","Illinois",-4.68360621854173,0.202982180410357,22.9565908690088,2.37745377699379,2.60083349402909,261.480254393045
"15","Indiana",-4.77490365601155,0.286275838037505,22.8449227542172,2.14158135725336,2.27015927027873,167.457325568539
"16","Iowa",-6.76057227848398,1.06590611192425,24.3110077936408,2.63208266950228,2.53013495176224,102.407088947963
"17","Kansas",-5.30008756038943,0.709937338053138,24.4774516302845,2.39773913145432,2.40479512351566,107.571261205234
"18","Kentucky",-5.41889318739068,0.654671983390811,24.1173278650738,2.4604568843917,2.4599178461618,57.5275154502023
"19","Louisiana",-4.01434131402808,-0.0491538554850277,20.9473077623874,2.14641613865567,2.30559370847772,115.226921872373
"20","Maine",-5.57793450544333,0.367741198470503,23.3319394622892,2.57874111948657,2.80036840390857,192.376841103022
"21","Maryland",-4.21261388384631,-0.248059491356434,22.3261832823577,1.70997147159429,2.24926106436869,142.344231352357
"22","Massachusetts",-4.91133690561919,0.0979790619254513,23.1125269249142,2.07888802344366,2.60670171347822,282.629686007375
"23","Michigan",-5.27255848173983,0.295057000730227,24.7911561985729,2.53019885310193,2.50995563147321,240.838908986283
"24","Minnesota",-4.82577755016474,0.187804873366096,23.433391753867,2.318934122471,2.5691478724309,154.62413383098
"25","Mississippi",-4.03374826701705,0.145475204287014,21.3952982775331,2.28126910694836,2.43628805579,195.104666157129
"26","Missouri",-5.97066442697843,0.998660369512986,25.1204303411901,2.67919917360333,2.4476220410313,120.113281806313
"27","Montana",-6.43540530398243,0.782945344576439,23.0036330475255,2.28627117922883,2.43870427684429,73.3707964379035
"28","Nebraska",-4.46994088294757,0.085254605497659,25.4166061447804,2.57069335373292,2.08005814324529,82.3892924090751
"29","Nevada",-4.98748220102168,0.210455019019032,22.7246423725235,2.06912638502048,2.37732562878797,265.297626979782
"30","New Hampshire",-6.57735165642221,0.728979471950758,24.3110269888894,2.50860999177203,2.58190980869446,129.455170972575
"31","New Jersey",-4.52077703133554,0.312067498753245,25.2000733354116,2.59200356404796,2.61500194633141,106.749908727287
"32","New Mexico",-4.15499140836883,0.0690246186705488,23.7681927155368,2.0338754690725,2.17011136689855,140.114430619294
"33","New York",-5.90835368602884,0.944669005371223,25.4598850407908,2.69650893705013,2.72899855111041,99.773177049858
"34","New York City",-4.38158578250484,0.0526695366095198,22.0982343157023,2.21823043850524,2.62999234725068,173.715809249783
"35","North Carolina",-5.03999564434564,0.422420115716101,23.3563399674396,2.41121012217866,2.46397842848868,145.282036485888
"36","North Dakota",-5.76949880333035,0.866452063232611,25.2244054112204,2.44941869109235,2.51568681058888,48.0961297935515
"37","Ohio",-5.0183908733797,0.203747515443867,22.7103426089204,2.17740415806766,2.44297832720087,164.396204138462
"38","Oklahoma",-5.14129789261054,0.842851968954421,24.4573377359013,2.51934464995609,2.37504902070881,83.1304038211424
"39","Oregon",-7.18731186474393,1.23777688301364,22.701264198497,2.72875009243024,3.06162137582918,155.79998016242
"40","Pennsylvania",-4.89566762073362,0.267695346922848,23.2365823579264,2.18756488516903,2.46083795685827,324.90148258073
"41","Puerto Rico",-2.90001974388222,-0.544800184232295,15.9261871053885,0.0960714194639919,2.5993462548305,62.9495676373351
"42","Rhode Island",-6.62671885262156,0.989278275602472,25.8591687247325,2.68512487211252,2.47776660745865,93.4638563138877
"43","South Carolina",-5.35098817019849,0.716680530352456,20.9194225393724,2.31690609992139,2.75546686788692,60.0654444350834
"44","South Dakota",-5.50485983515126,0.523399101806412,27.0536425519389,2.71751420006987,2.15640953133062,257.958288094101
"45","Tennessee",-4.92896983646438,0.534455399803458,22.2087030303086,2.19907451458219,2.35912007341701,76.464747105044
"46","Texas",-3.88021569783224,0.102220983276256,22.205855793891,1.99410516756667,2.22429614292814,130.062978149
"47","US",-5.88528367335835,0.965161561290438,22.5002348377751,2.44261045578036,2.73262372025098,80.2359526708179
"48","Utah",-4.69035186630745,0.235216389974697,23.0935163565407,2.14931856864801,2.4603668949114,139.94416088077
"49","Vermont",-4.70141020853627,-4.33680868994202e-19,28.3689506022555,2.58537722030255,2.18463009565758,171.348991489063
"50","Virgin Islands",-5.02393489144558,-0.388042401042677,19.1260957543138,1.80549091965422,2.9396154521576,40.9125363530973
"51","Virginia",-4.422367538494,0.20103823721422,22.6276624091493,2.08089780459251,2.38750167806431,159.268045797654
"52","Washington",-5.23716188920171,0.422036487044019,23.7566500557557,2.15791086743155,2.24512662690704,123.164087634843
"53","West Virginia",-5.38945259902622,0.570200151027851,25.7971977812608,2.56747626659311,2.30506744309917,166.219662268436
"54","Wisconsin",-6.10093844256352,0.838094557503676,23.3612637964705,2.79209062376169,2.97615249473708,189.736271094327
"55","Wyoming",-5.7485358997692,0.752322275707157,25.8064371772693,2.64045036111702,2.35126901323598,130.896257926138
