region,apr_2020,pop_2020,pop_2021,pop_2022
US,331449520,331511512,332031554,333287557
Alabama,5024356,5031362,5049846,5074296
Alaska,733378,732923,734182,733583
Arizona,7151507,7179943,7264877,7359197
Arkansas,3011555,3014195,3028122,3045637
California,39538245,39501653,39142991,39029342
Colorado,5773733,5784865,5811297,5839926
Connecticut,3605942,3597362,3623355,3626205
Delaware,989957,992114,1004807,1018396
District of Columbia,689546,670868,668791,671803
Florida,21538226,21589602,21828069,22244823
Georgia,10711937,10729828,10788029,10912876
Hawaii,1455273,1451043,1447154,1440196
Idaho,1839092,1849202,1904314,1939033
Illinois,12812545,12786580,12686469,12582032
Indiana,6785668,6788799,6813532,6833037
Iowa,3190372,3190571,3197689,3200517
Kansas,2937847,2937919,2937922,2937150
Kentucky,4505893,4507445,4506589,4512310
Louisiana,4657749,4651664,4627098,4590241
Maine,1362341,1363557,1377238,1385340
Maryland,6177213,6173205,6174610,6164660
Massachusetts,7029949,6995729,6989690,6981974
Michigan,10077325,10069577,10037504,10034113
Minnesota,5706504,5709852,5711471,5717184
Mississippi,2961288,2958141,2949586,2940057
Missouri,6154920,6153998,6169823,6177957
Montana,1084197,1087075,1106227,1122867
Nebraska,1961489,1962642,1963554,1967923
Nevada,3104624,3115648,3146402,3177772
New Hampshire,1377518,1378587,1387505,1395231
New Jersey,9289031,9271689,9267961,9261699
New Mexico,2117527,2118390,2116677,2113344
New York,20201230,20108296,19857492,19677151
North Carolina,10439414,10449445,10565885,10698973
North Dakota,779091,779518,777934,779261
Ohio,11799374,11797517,11764342,11756058
Oklahoma,3959346,3964912,3991225,4019800
Oregon,4237291,4244795,4256301,4240137
Pennsylvania,13002689,12994440,13012059,12972008
Rhode Island,1097371,1096345,1096985,1093734
South Carolina,5118429,5131848,5193266,5282634
South Dakota,886677,887799,896164,909824
Tennessee,6910786,6925619,6968351,7051339
Texas,29145428,29232474,29558864,30029572
Utah,3271614,3283785,3339113,3380800
Vermont,643085,642893,646972,647064
Virginia,8631384,8636471,8657365,8683619
Washington,7705247,7724031,7740745,7785786
West Virginia,1793755,1791420,1785526,1775156
Wisconsin,5893725,5896271,5880101,5892539
Wyoming,576837,577605,579483,581381
Puerto Rico,3285874,3281557,3262693,3221789
